t;N
ms;_
0 ; 84
4 ; 234
58 ; 2115
112 ; 3785
166 ; 5278
220 ; 6604
274 ; 7789
328 ; 8850
382 ; 9798
436 ; 10643
490 ; 11401
544 ; 12079
598 ; 12684
652 ; 13227
706 ; 13712
760 ; 14147
814 ; 14536
868 ; 14886
922 ; 15197
976 ; 15477
1030 ; 15728
1084 ; 15953
1138 ; 16155
1192 ; 16335
1246 ; 16497
1300 ; 16642
1354 ; 16772
1408 ; 16889
1462 ; 16994
1516 ; 17087
1570 ; 17171
1624 ; 17246
1678 ; 17315
1732 ; 17377
1786 ; 17431
1840 ; 17480
1894 ; 17525
1948 ; 17564
2002 ; 17601
2056 ; 17634
2110 ; 17662
2164 ; 17687
2218 ; 17712
2272 ; 17732
2326 ; 17751
2380 ; 17769
2434 ; 17785
2488 ; 17798
2542 ; 17810
2596 ; 17822
2650 ; 17833
