t;N
ms;
0 ; 96
10 ; 485
34 ; 1339
58 ; 2145
82 ; 2912
106 ; 3640
130 ; 4330
154 ; 4987
178 ; 5611
202 ; 6205
226 ; 6768
250 ; 7305
274 ; 7816
298 ; 8300
322 ; 8763
346 ; 9201
370 ; 9620
394 ; 10016
418 ; 10396
442 ; 10754
466 ; 11098
490 ; 11424
514 ; 11733
538 ; 12029
562 ; 12309
586 ; 12577
610 ; 12833
634 ; 13075
658 ; 13306
682 ; 13525
706 ; 13733
730 ; 13933
754 ; 14122
778 ; 14302
802 ; 14474
826 ; 14638
850 ; 14793
874 ; 14941
898 ; 15082
922 ; 15216
946 ; 15344
970 ; 15466
994 ; 15582
1018 ; 15693
1042 ; 15798
1066 ; 15897
1090 ; 15994
1114 ; 16084
1138 ; 16172
1162 ; 16254
1186 ; 16332
1210 ; 16408
1234 ; 16479
1258 ; 16547
1282 ; 16612
1306 ; 16673
1330 ; 16733
1354 ; 16788
1378 ; 16842
1402 ; 16893
1426 ; 16941
1450 ; 16987
1474 ; 17030
1498 ; 17073
1522 ; 17113
1546 ; 17151
1570 ; 17187
1594 ; 17222
1618 ; 17254
1642 ; 17286
1666 ; 17316
1690 ; 17344
1714 ; 17371
1738 ; 17398
1762 ; 17422
1786 ; 17446
1810 ; 17468
1834 ; 17490
1858 ; 17510
1882 ; 17529
1906 ; 17548
1930 ; 17564
1954 ; 17582
1978 ; 17598
2002 ; 17613
2026 ; 17628
2050 ; 17643
2074 ; 17655
2098 ; 17668
2122 ; 17681
2146 ; 17693
2170 ; 17703
2194 ; 17713
2218 ; 17724
2242 ; 17733
2266 ; 17743
2290 ; 17750
2314 ; 17759
2338 ; 17766
2362 ; 17775
