t;uc
ms;V
0 ; 0.016
3 ; 0.42
6 ; 0.7832
9 ; 1.096
12 ; 1.3704
15 ; 1.6112
18 ; 1.8216
21 ; 2.0032
24 ; 2.1584
27 ; 2.3008
30 ; 2.4176
33 ; 2.5424
36 ; 2.6304
39 ; 2.7024
42 ; 2.7816
45 ; 2.844
48 ; 2.888
51 ; 2.9464
54 ; 2.988
57 ; 3.0264
60 ; 3.0576
63 ; 3.0864
66 ; 3.1056
69 ; 3.1312
72 ; 3.1424
75 ; 3.1616
78 ; 3.1808
81 ; 3.1856
84 ; 3.208
87 ; 3.2144
90 ; 3.2216
93 ; 3.2312
96 ; 3.2336
99 ; 3.2352
102 ; 3.2464
105 ; 3.2512
108 ; 3.256
111 ; 3.2504
114 ; 3.2624
117 ; 3.2736
120 ; 3.2672
123 ; 3.2688
126 ; 3.2696
129 ; 3.272
132 ; 3.2736
135 ; 3.2752
138 ; 3.276
141 ; 3.276
144 ; 3.276
147 ; 3.276
